"","n","diff","real","synthetic","smoothdiff"
"1",1,0,0,0,0.000313496726305024
"2",2,-0.000133333333333333,0.00243333333333333,0.00256666666666667,0.00047708332496008
"3",3,-3.33333333333331e-05,0.0084,0.00843333333333333,0.000632519635413178
"4",4,0.000833333333333332,0.0162666666666667,0.0154333333333333,0.00077976030719264
"5",5,0.00296666666666667,0.0278,0.0248333333333333,0.000918759989826785
"6",6,0.0022,0.0417666666666667,0.0395666666666667,0.00104947333284393
"7",7,0.000399999999999998,0.0573,0.0569,0.00117185498577241
"8",8,0.002,0.0730333333333333,0.0710333333333333,0.00128585959814053
"9",9,-0.000233333333333335,0.0957666666666667,0.096,0.00139144181947661
"10",10,0.00183333333333334,0.115933333333333,0.1141,0.00148855629930898
"11",11,-0.000233333333333308,0.140766666666667,0.141,0.00157721070489045
"12",12,0.000766666666666665,0.168433333333333,0.167666666666667,0.00165749496164088
"13",13,0.00213333333333332,0.1977,0.195566666666667,0.0017294871063391
"14",14,-0.000466666666666671,0.220133333333333,0.2206,0.00179326517576398
"15",15,0.00570000000000004,0.257366666666667,0.251666666666667,0.00184890720669437
"16",16,0.00253333333333333,0.282433333333333,0.2799,0.00189649123590912
"17",17,0.001,0.318133333333333,0.317133333333333,0.00193609530018708
"18",18,0.00983333333333331,0.347466666666667,0.337633333333333,0.0019677974363071
"19",19,-9.9999999999989e-05,0.3789,0.379,0.00199167568104804
"20",20,3.33333333333297e-05,0.408233333333333,0.4082,0.00200526194426289
"21",21,-0.000933333333333342,0.444766666666667,0.4457,0.00200675955806251
"22",22,0.00473333333333337,0.479233333333333,0.4745,0.00199725369261253
"23",23,0.00139999999999996,0.509366666666667,0.507966666666667,0.0019778295180786
"24",24,0.001,0.538933333333333,0.537933333333333,0.00194957220462636
"25",25,0.00309999999999999,0.570666666666667,0.567566666666667,0.00191356692242145
"26",26,-6.66666666666593e-05,0.597433333333333,0.5975,0.00187089884162951
"27",27,-0.00396666666666667,0.626066666666667,0.630033333333333,0.00182265313241619
"28",28,0.00626666666666675,0.658833333333333,0.652566666666667,0.00176991496494711
"29",29,0.00323333333333331,0.681766666666667,0.678533333333333,0.00171376950938793
"30",30,-0.00176666666666658,0.703166666666667,0.704933333333333,0.00164368233682749
"31",31,0.00270000000000004,0.729966666666667,0.727266666666667,0.00155228816485205
"32",32,-0.00279999999999991,0.7537,0.7565,0.00144542588337334
"33",33,-0.000366666666666626,0.775933333333333,0.7763,0.00132893438230312
"34",34,0.00813333333333333,0.796733333333333,0.7886,0.00120865255155314
"35",35,0.00193333333333334,0.814366666666667,0.812433333333333,0.00109041928103515
"36",36,0.00736666666666674,0.835266666666667,0.8279,0.0009800734606609
"37",37,0.00406666666666666,0.849233333333333,0.845166666666667,0.000883453980342134
"38",38,0.000500000000000056,0.866666666666667,0.866166666666667,0.000806399729990605
"39",39,-0.00393333333333334,0.876966666666667,0.8809,0.000737905167828587
"40",40,0.00193333333333334,0.8907,0.888766666666667,0.000664176571597776
"41",41,-0.00323333333333342,0.9016,0.904833333333333,0.000586870560489053
"42",42,-0.000566666666666715,0.914366666666667,0.914933333333333,0.0005076437536933
"43",43,-0.00173333333333336,0.923166666666667,0.9249,0.0004281527704014
"44",44,-0.00113333333333332,0.932233333333333,0.933366666666667,0.000350054229804235
"45",45,-0.000566666666666604,0.941133333333333,0.9417,0.000275004751092686
"46",46,-0.000533333333333386,0.9478,0.948333333333333,0.000204660953457635
"47",47,0.000766666666666693,0.954533333333333,0.953766666666667,0.000140679456089965
"48",48,0.000866666666666682,0.961766666666667,0.9609,8.47168781805567e-05
"49",49,-0.000700000000000034,0.9651,0.9658,3.62337258706454e-05
"50",50,0.00109999999999999,0.970766666666667,0.969666666666667,-6.72442874567617e-06
"51",51,0.000666666666666704,0.9748,0.974133333333333,-4.46233675482377e-05
"52",52,0.00209999999999999,0.9795,0.9774,-7.79288724168687e-05
"53",53,0.00176666666666669,0.981966666666667,0.9802,-0.000107106725231399
"54",54,-0.000766666666666693,0.984066666666667,0.984833333333333,-0.000132622707871658
"55",55,0,0.9869,0.9869,-0.000154942602217476
"56",56,0.000266666666666637,0.989233333333333,0.988966666666667,-0.000174532190148682
"57",57,-0.000300000000000078,0.9894,0.9897,-0.000191857253545106
"58",58,-0.000733333333333253,0.991433333333333,0.992166666666667,-0.000205806599927752
"59",59,6.66666666666593e-05,0.992633333333333,0.992566666666667,-0.000215171083379983
"60",60,-0.00206666666666666,0.992866666666667,0.994933333333333,-0.000220269555625163
"61",61,-0.000866666666666682,0.994733333333333,0.9956,-0.000221420868386658
"62",62,0.000366666666666626,0.996066666666667,0.9957,-0.000218943873387832
"63",63,0.000366666666666626,0.996966666666667,0.9966,-0.00021315742235205
"64",64,0.000233333333333308,0.9973,0.997066666666667,-0.000204380367002678
"65",65,-9.9999999999989e-05,0.997966666666667,0.998066666666667,-0.00019293155906308
"66",66,-0.000299999999999967,0.9981,0.9984,-0.000179129850256622
"67",67,0.000166666666666648,0.998433333333333,0.998266666666667,-0.000162957742572052
"68",68,-0.000199999999999978,0.9987,0.9989,-0.000144112339451067
"69",69,-0.000133333333333319,0.9993,0.999433333333333,-0.000122484394796455
"70",70,-0.000366666666666626,0.9991,0.999466666666667,-9.79646625110006e-05
"71",71,-9.9999999999989e-05,0.9992,0.9993,-7.0443896497492e-05
"72",72,-6.66666666666593e-05,0.999266666666667,0.999333333333333,-3.98128506587155e-05
"73",73,0.000166666666666759,0.9996,0.999433333333333,-5.96227889745769e-06
"74",74,-9.9999999999989e-05,0.999566666666667,0.999666666666667,3.12170648834946e-05
"75",75,-6.66666666666593e-05,0.999633333333333,0.9997,7.18344267813547e-05
